;precision;recall;fmeasure;precision_weighted;recall_weighted;fmeasure_weighted;average_precision_score_weighted;precision_micro;recall_micro;fmeasure_micro;average_precision_score_micro;precision_macro;recall_macro;fmeasure_macro;average_precision_score_macro;roc_auc_score_weighted;roc_auc_score_micro;roc_auc_score_macro;matthews_corrcoef
Our proposal;0.867846980714511;0.867298578199052;0.867572692793931;0.821268802019157;0.82120759547685;0.821238038744951;0.842292010820927;0.82120759547685;0.82120759547685;0.82120759547685;0.842292010820927;0.796128214766704;0.796329972410958;0.79622889400038;0.842292010820927;0.796329972410958;0.796329972410958;0.796329972410958;0.592458152824058
tweet stats;0.822866344605475;0.807266982622432;0.814992025518341;0.755175432576097;0.752506934072967;0.753714764448844;0.794420046814221;0.752506934072967;0.752506934072967;0.752506934072967;0.794420046814221;0.718639240570752;0.72295017987889;0.720640342656077;0.794420046814221;0.72295017987889;0.72295017987889;0.72295017987889;0.441568377553616
user stats;0.683255269320843;0.737440758293838;0.709314693815529;0.573798834704088;0.591849797311713;0.581293517676032;0.681159195800157;0.591849797311713;0.591849797311713;0.591849797311713;0.681159195800157;0.514719688161601;0.51326702829278;0.512194045797847;0.681159195800157;0.51326702829278;0.51326702829278;0.51326702829278;0.0279489906294213
LIWC categories;0.687337892006602;0.921011058451816;0.787199567917904;0.606845618678895;0.663750800085342;0.596255437185018;0.686384822260143;0.663750800085342;0.663750800085342;0.663750800085342;0.686384822260143;0.563399887707337;0.524894491118155;0.493193279893911;0.686384822260143;0.524894491118155;0.524894491118155;0.524894491118155;0.0794558479011419
personality;0.692383131742399;0.669194312796208;0.680591259640102;0.583435752855868;0.575848090462982;0.579372781235292;0.68672268164632;0.575848090462982;0.575848090462982;0.575848090462982;0.68672268164632;0.524631369311003;0.525464436292979;0.524740074264495;0.68672268164632;0.525464436292979;0.525464436292979;0.525464436292979;0.0500888783914708
punctuation;0.718616887997995;0.906161137440758;0.80156512017887;0.671420591547391;0.697034350330701;0.658106299882285;0.714549455733374;0.697034350330701;0.697034350330701;0.697034350330701;0.714549455733374;0.64594637503348;0.584158098286739;0.580674354498813;0.714549455733374;0.584158098286739;0.584158098286739;0.584158098286739;0.221653507751724
readability;0.717978173463526;0.789889415481832;0.752219046186249;0.6303518263918;0.648602517601877;0.636557618606187;0.709005160491229;0.648602517601877;0.648602517601877;0.648602517601877;0.709005160491229;0.583055476773257;0.57234286805629;0.574129325073322;0.709005160491229;0.57234286805629;0.57234286805629;0.57234286805629;0.155028660544559
sentiment;0.680437100213219;0.806635071090047;0.738181292467832;0.571658894891542;0.613612118625986;0.583851392111878;0.679438356588437;0.613612118625986;0.613612118625986;0.613612118625986;0.679438356588437;0.512945822833882;0.509427916622553;0.500551777695047;0.679438356588437;0.509427916622553;0.509427916622553;0.509427916622553;0.0220954419089721
tree metrics;0.713301536830948;0.850552922590837;0.775904308978238;0.638167983779297;0.668231278002987;0.641301965533201;0.707618138032759;0.668231278002987;0.668231278002987;0.668231278002987;0.707618138032759;0.597614623837161;0.569823110441279;0.568650306439838;0.707618138032759;0.569823110441279;0.569823110441279;0.569823110441279;0.165115192043204
content evolution;0.76166219839142;0.897630331753554;0.824075416968818;0.729117898752115;0.741199061233198;0.722310339575019;0.752818465412748;0.741199061233198;0.741199061233198;0.741199061233198;0.752818465412748;0.711552102330506;0.656765231579799;0.66738260562035;0.752818465412748;0.656765231579799;0.656765231579799;0.656765231579799;0.364219792504665
node2vec;0.727792983329186;0.924170616113744;0.814309576837416;0.699517483450285;0.715382974183913;0.676806116345514;0.723810351722531;0.715382974183913;0.715382974183913;0.715382974183913;0.723810351722531;0.684255773101718;0.602689775862391;0.602588578373046;0.723810351722531;0.602689775862391;0.602689775862391;0.602689775862391;0.275108589768964
all features;0.841244891543539;0.845497630331753;0.843365899779388;0.787357555496436;0.787924045231491;0.787631089593193;0.815601690982478;0.787924045231491;0.787924045231491;0.787924045231491;0.815601690982478;0.758271848162208;0.756848683759832;0.757548207485467;0.815601690982478;0.756848683759832;0.756848683759832;0.756848683759832;0.51511856597363
content-Word2vec;0.726535028401406;0.84865718799368;0.782862139317983;0.658220897095888;0.682099423938553;0.6607595495031;0.718776741922605;0.682099423938553;0.682099423938553;0.682099423938553;0.718776741922605;0.621348322281511;0.592199816073055;0.594854636537972;0.718776741922605;0.592199816073055;0.592199816073055;0.592199816073055;0.211549455164784
content-GloVe;0.714285714285714;0.469194312796208;0.566361556064073;0.597884539761366;0.51482824834649;0.528379137494503;0.693577028265998;0.51482824834649;0.51482824834649;0.51482824834649;0.693577028265998;0.535056967572305;0.539459180051192;0.50787811459378;0.693577028265998;0.539459180051192;0.539459180051192;0.539459180051192;0.0743859985611376
content-BERT;0.774829688060236;0.816395919909331;0.795069904341427;0.711707708838738;0.718544719555331;0.71416303558774;0.755357083475946;0.718544719555331;0.718544719555331;0.718544719555331;0.755357083475946;0.679544869693078;0.668686136918815;0.672938177977165;0.755357083475946;0.668686136918815;0.668686136918815;0.668686136918815;0.348061663916711
content-SentenceTransformers;0.774227902023429;0.823951643369852;0.798316251830161;0.713731918236247;0.721576553815058;0.716256101668823;0.755662582634401;0.721576553815058;0.721576553815058;0.721576553815058;0.755662582634401;0.682907114903037;0.669412892623141;0.674443607154884;0.755662582634401;0.669412892623141;0.669412892623141;0.669412892623141;0.35206149131694
\citet{sharma2021identifying};0.757396449704142;0.566192733017377;0.647984089676369;0.644082035247132;0.584595690206955;0.597774803185373;0.721770279213073;0.584595690206955;0.584595690206955;0.584595690206955;0.721770279213073;0.582920542818464;0.594528692395679;0.570674324307349;0.721770279213073;0.594528692395679;0.594528692395679;0.594528692395679;0.177069144521223
\citet{sansonetti2020unreliable};0.48030303030303;0.100157977883096;0.165751633986928;0.419407036379566;0.319180712609345;0.249917810834402;0.655744328355402;0.319180712609345;0.319180712609345;0.319180712609345;0.655744328355402;0.386538403654122;0.437398305630115;0.295346532437688;0.655744328355402;0.437398305630115;0.437398305630115;0.437398305630115;-0.16855726833529
\textit{FacTweet} \citep{ghanem2020factweet};0.826113116726835;0.867614533965244;0.846355370627215;0.782754385451072;0.787283976957542;0.784028395815955;0.806143949033103;0.787283976957542;0.787283976957542;0.787283976957542;0.806143949033103;0.759351496000981;0.743925532422832;0.750387390686224;0.806143949033103;0.743925532422832;0.743925532422832;0.743925532422832;0.503040561969698
\citet{shrestha2021characterizing};0.712236058473199;0.83127962085308;0.767167225543082;0.631053932937475;0.659270322167697;0.636575506308621;0.705999473408455;0.659270322167697;0.659270322167697;0.659270322167697;0.705999473408455;0.587235854010013;0.566428246694608;0.566088582950467;0.705999473408455;0.566428246694608;0.566428246694608;0.566428246694608;0.152248807296373
\textit{CheckerOrSpreader} \citep{giachanou2022impact};0.678724103913186;0.779750661125802;0.725738396624472;0.574555278269257;0.605861546235472;0.58466249818643;0.676532183200068;0.605861546235472;0.605861546235472;0.605861546235472;0.676532183200068;0.521477646285928;0.517259007145662;0.512779431705414;0.676532183200068;0.517259007145662;0.517259007145662;0.517259007145662;0.0385062514779533
\citet{hamdi2020hybrid};0.70264064293915;0.966824644549763;0.813829787234042;0.696501432305454;0.70130147215703;0.62907456010652;0.701732679444083;0.70130147215703;0.70130147215703;0.70130147215703;0.701732679444083;0.693187791349093;0.557985252629677;0.529352865569556;0.701732679444083;0.557985252629677;0.557985252629677;0.557985252629677;0.211679407466542
\citet{kumar2023autoencoder};0.7748296880602367;0.8163959199093314;0.7950699043414275;0.7117077088387385;0.718544719555331;0.7141630355877401;0.7553570834759461;0.718544719555331;0.718544719555331;0.718544719555331;0.7553570834759461;0.6795448696930781;0.6686861369188152;0.6729381779771654;0.7553570834759461;0.6686861369188152;0.6686861369188152;0.6686861369188152;0.3480616639167112
\citet{lampridis2022manifesto};0.808370044052863;0.8318851530034;0.819959039285049;0.752397191408121;0.755684689236988;0.753740042889758;0.784901558245162;0.755684689236988;0.755684689236988;0.755684689236988;0.784901558245162;0.723877080373271;0.71685790830948;0.719999166007947;0.784901558245162;0.71685790830948;0.71685790830948;0.71685790830948;0.440679091258848
\citet{agarwal2022profiling};0.774893314366998;0.688467614533965;0.729128325246779;0.677228135972879;0.654576488158736;0.66232355865979;0.743858057698543;0.654576488158736;0.654576488158736;0.654576488158736;0.743858057698543;0.624513323850166;0.63628374156396;0.626265663948087;0.743858057698543;0.63628374156396;0.63628374156396;0.63628374156396;0.260531315959258
