feature_set;precision;recall;fmeasure;precision_weighted;recall_weighted;fmeasure_weighted;average_precision_score_weighted;precision_micro;recall_micro;fmeasure_micro;average_precision_score_micro;precision_macro;recall_macro;fmeasure_macro;average_precision_score_macro;roc_auc_score_weighted;roc_auc_score_micro;roc_auc_score_macro;matthews_corrcoef
Model;0.868696047;0.795672077;0.830582103;0.836435421;0.833582249;0.833455199;0.795955029;0.833582249;0.833582249;0.833582249;0.795955029;0.835595007;0.834569839;0.833530045;0.795955029;0.834569839;0.834569839;0.834569839;0.670164061
tweet stats;0.86109762;0.737827715;0.794710892;0.811965721;0.80456582;0.803875654;0.769756027;0.80456582;0.80456582;0.80456582;0.769756027;0.810685796;0.806304401;0.804114404;0.769756027;0.806304401;0.806304401;0.806304401;0.61697464
user stats;0.6139748;0.223054515;0.327228327;0.563544975;0.529763175;0.47894679;0.535285674;0.529763175;0.529763175;0.529763175;0.535285674;0.562231238;0.537753177;0.482899175;0.535285674;0.537753177;0.537753177;0.537753177;0.096941775
LIWC categories;0.627906977;0.179775281;0.279521191;0.569050146;0.524855985;0.457889699;0.533407009;0.524855985;0.524855985;0.524855985;0.533407009;0.567516879;0.533845609;0.462536339;0.533407009;0.533845609;0.533845609;0.533845609;0.095606483
personality;0.538812785;0.245526425;0.33733562;0.51759282;0.50544058;0.468020348;0.519107371;0.50544058;0.50544058;0.50544058;0.519107371;0.517040023;0.512211549;0.471424788;0.519107371;0.512211549;0.512211549;0.512211549;0.028850308
punctuation;0.739463602;0.321265085;0.447925733;0.648253918;0.593983358;0.56049385;0.585547622;0.593983358;0.593983358;0.593983358;0.585547622;0.645877834;0.601087884;0.563426339;0.585547622;0.601087884;0.601087884;0.601087884;0.242870184
readability;0.674603175;0.247607158;0.362252664;0.601620709;0.553018989;0.50536657;0.552784388;0.553018989;0.553018989;0.553018989;0.552784388;0.599719459;0.560975208;0.5090948;0.552784388;0.560975208;0.560975208;0.560975208;0.155954028
sentiment;0.50802139;0.19766958;0.284601558;0.497358826;0.490505654;0.44042825;0.511770919;0.490505654;0.490505654;0.490505654;0.511770919;0.497081058;0.498134264;0.444487658;0.511770919;0.498134264;0.498134264;0.498134264;-0.004667322
tree metrics;0.654150198;0.826466916;0.730281302;0.699603895;0.687006614;0.680045273;0.629602987;0.687006614;0.687006614;0.687006614;0.629602987;0.700788;0.683373563;0.678736585;0.629602987;0.683373563;0.683373563;0.683373563;0.383766653
content evolution;0.766370699;0.574698294;0.656837099;0.707593492;0.69212716;0.688023982;0.658481859;0.69212716;0.69212716;0.69212716;0.658481859;0.706062299;0.695186275;0.688836425;0.658481859;0.695186275;0.695186275;0.695186275;0.401101147
node2vec;0.634693878;0.647107782;0.640840717;0.627982221;0.628120333;0.627988093;0.591641313;0.628120333;0.628120333;0.628120333;0.591641313;0.627807377;0.627625695;0.627653272;0.591641313;0.627625695;0.627625695;0.627625695;0.255433007
all features;0.865483419;0.771119434;0.815580986;0.825763866;0.821207595;0.820902384;0.784736934;0.821207595;0.821207595;0.821207595;0.784736934;0.824729141;0.822512432;0.821041011;0.784736934;0.822512432;0.822512432;0.822512432;0.647237776
content-based;0.832575758;0.5495;0.662048193;0.746438409;0.716523497;0.708463617;0.685140601;0.716523497;0.716523497;0.716523497;0.685140601;0.745514566;0.718314862;0.708961433;0.685140601;0.718314862;0.718314862;0.718314862;0.463031224
\citet{sharma2021identifying};0.67816092;0.19642114;0.304614392;0.599217675;0.540217623;0.476126035;0.545195753;0.540217623;0.540217623;0.540217623;0.545195753;0.597161141;0.549173793;0.480594048;0.545195753;0.549173793;0.549173793;0.549173793;0.138243001
\textit{FacTweet} \citep{ghanem2020factweet};0.676923077;0.022;0.042615012;0.58819305;0.500505306;0.349075171;0.509081292;0.500505306;0.500505306;0.500505306;0.509081292;0.5872414;0.505637385;0.352362027;0.509081292;0.505637385;0.505637385;0.505637385;0.044353731
\citet{shrestha2021characterizing};0.687358916;0.253433208;0.370325327;0.609711701;0.558139535;0.51131716;0.556960403;0.558139535;0.558139535;0.558139535;0.556960403;0.607688929;0.566077375;0.514990108;0.556960403;0.566077375;0.566077375;0.566077375;0.168710424
\citet{kumar2023autoencoder};0.75136612;0.55;0.635103926;0.695845492;0.680646791;0.675163643;0.640638936;0.680646791;0.680646791;0.680646791;0.640638936;0.695250021;0.682048008;0.675593293;0.640638936;0.682048008;0.682048008;0.682048008;0.377066983
\citet{hamdi2020hybrid};0.715240642;0.222638369;0.339574738;0.622909598;0.556005974;0.498446325;0.557789188;0.556005974;0.556005974;0.556005974;0.557789188;0.620504302;0.564690463;0.502585055;0.557789188;0.564690463;0.564690463;0.564690463;0.17658402
\citet{lampridis2022manifesto};0.841590214;0.688;0.757083906;0.787070758;0.776907529;0.775217358;0.736669449;0.776907529;0.776907529;0.776907529;0.736669449;0.786486024;0.777861083;0.775411843;0.736669449;0.777861083;0.777861083;0.777861083;0.564281195
\citet{agarwal2022profiling};0.784899511;0.601331669;0.680961357;0.725685921;0.711115852;0.707812377;0.676380068;0.711115852;0.711115852;0.711115852;0.676380068;0.724143361;0.713975817;0.708511868;0.676380068;0.713975817;0.713975817;0.713975817;0.438001181
\citet{tommasel2022following};0.864954826438421;0.756970453599667;0.807367953839325;0.820629038941042;0.814806912737358;0.814348472377989;0.779345204641094;0.814806912737358;0.814806912737358;0.814806912737358;0.779345204641094;0.819474317243978;0.816313598078292;0.814530320387205;0.779345204641094;0.816313598078292;0.816313598078292;0.816313598078292;0.635780058765761
