feature_set;accuracy;precision;recall;fmeasure;precision_weighted;recall_weighted;fmeasure_weighted;average_precision_score_weighted;precision_micro;recall_micro;fmeasure_micro;average_precision_score_micro;precision_macro;recall_macro;fmeasure_macro;average_precision_score_macro;roc_auc_score_micro;roc_auc_score_macro;roc_auc_score_weighted;matthews_corrcoef
Model;0.859184979731171;0.840045163718479;0.904742602351033;0.8711943793911;0.860976391082112;0.859184979731171;0.858648089;0.810163328974412;0.859184979731171;0.859184979731171;0.859184979731171;0.810163328974412;0.862140808460224;0.856650580454796;0.857950131;0.810163328974412;0.856650580454796;0.856650580454796;0.856650580454796;0.718770421048914
tweet stats;0.833008763;0.922760041;0.76975945;0.839344262;0.84900322;0.833008763;0.833628506;0.84078038;0.833008763;0.833008763;0.833008763;0.84078038;0.837649642;0.842744894;0.832748664;0.84078038;0.842744894;0.842744894;0.842744894;0.680375457
user stats;0.520934761;0.670454545;0.304123711;0.418439716;0.583251002;0.520934761;0.49395345;0.598253608;0.520934761;0.520934761;0.520934761;0.598253608;0.569827535;0.554309047;0.505577474;0.598253608;0.554309047;0.554309047;0.554309047;0.123162768
LIWC categories;0.501460565;0.677664975;0.229381443;0.342747112;0.583193936;0.501460565;0.453535326;0.592152631;0.501460565;0.501460565;0.501460565;0.592152631;0.568651764;0.543342407;0.470589242;0.592152631;0.543342407;0.543342407;0.543342407;0.109096888
personality;0.492697176;0.59807074;0.319587629;0.416573348;0.532580187;0.492697176;0.474928393;0.576725104;0.492697176;0.492697176;0.492697176;0.576725104;0.522499057;0.519344376;0.483911136;0.576725104;0.519344376;0.519344376;0.519344376;0.041724344
punctuation;0.633398247;0.787412587;0.483676976;0.599254923;0.685043086;0.633398247;0.626520566;0.673453144;0.633398247;0.633398247;0.633398247;0.673453144;0.669285084;0.65644523;0.630717636;0.673453144;0.65644523;0.65644523;0.65644523;0.32547715
readability;0.5593963;0.734177215;0.348797251;0.47291788;0.630542962;0.5593963;0.537297465;0.625115022;0.5593963;0.5593963;0.5593963;0.625115022;0.614590273;0.591814356;0.547207581;0.625115022;0.591814356;0.591814356;0.591814356;0.205144165
sentiment;0.434761441;0.504761905;0.136597938;0.215010142;0.468936481;0.434761441;0.363795731;0.558238627;0.434761441;0.434761441;0.434761441;0.558238627;0.46342178;0.48065852;0.386698681;0.558238627;0.48065852;0.48065852;0.48065852;-0.053196876
tree metrics;0.730769231;0.745381526;0.797250859;0.770444168;0.729306195;0.730769231;0.728877724;0.709153823;0.730769231;0.730769231;0.730769231;0.709153823;0.726831678;0.720535542;0.722479294;0.709153823;0.720535542;0.720535542;0.720535542;0.447322912
content evolution;0.73271665;0.838283828;0.654639175;0.735166425;0.756227245;0.73271665;0.733023625;0.744489111;0.73271665;0.73271665;0.73271665;0.744489111;0.743596063;0.744735318;0.732693778;0.744489111;0.744735318;0.744735318;0.744735318;0.488330052
