feature_set;accuracy;precision;recall;fmeasure;precision_weighted;recall_weighted;fmeasure_weighted;average_precision_score_weighted;precision_micro;recall_micro;fmeasure_micro;average_precision_score_micro;precision_macro;recall_macro;fmeasure_macro;average_precision_score_macro;roc_auc_score_weighted;roc_auc_score_micro;roc_auc_score_macro;matthews_corrcoef;balanced_accuracy;roc_auc_score_prob_weighted;roc_auc_score_prob_micro;roc_auc_score_prob_macro
our proposal;0.85918498;0.840045164;0.904742602;0.871194379;0.860976391;0.85918498;0.858648089;0.810163329;0.85918498;0.85918498;0.85918498;0.810163329;0.862140808;0.85665058;0.857950131;0.810163329;0.85665058;0.85665058;0.85665058;0.718770421;0.85665058;0.89362787;0.89362787;0.89362787
SameFeatures\_\_SocialInteraction;0.819287391;0.809633028;0.858532631;0.833366122;0.819981983;0.819287391;0.818798523;0.769557649;0.819287391;0.819287391;0.819287391;0.769557649;0.820557702;0.817104153;0.817988118;0.769557649;0.817104153;0.817104153;0.817104153;0.637652503;0.817104153;0.858556002;0.858556002;0.858556002
SameFeatures\_\_UserFeature;0.759974397;0.864673913;0.64491285;0.738797307;0.783032562;0.759974397;0.757353905;0.744539253;0.759974397;0.759974397;0.759974397;0.744539253;0.778490803;0.766375344;0.75838622;0.744539253;0.766375344;0.766375344;0.766375344;0.544731432;0.766375344;0.819930013;0.819930013;0.819930013
SameFeatures\_\_CombinedFeatures;0.857051419;0.857256461;0.873935955;0.865515857;0.857046887;0.857051419;0.856958911;0.815540988;0.857051419;0.857051419;0.857051419;0.815540988;0.857035229;0.856112121;0.856482883;0.815540988;0.856112121;0.856112121;0.856112121;0.713146753;0.856112121;0.9081858;0.9081858;0.9081858
UserFeatures\_\_no-user-features;0.801152123;0.813649367;0.807053101;0.81033781;0.801263705;0.801152123;0.801193314;0.758215744;0.801152123;0.801152123;0.801152123;0.758215744;0.800574683;0.800823848;0.8006846;0.758215744;0.800823848;0.800823848;0.800823848;0.601398479;0.800823848;0.867965341;0.867965341;0.867965341
SocialInteraction\_\_no-user-interactions;0.833582249;0.853372434;0.82569923;0.839307787;0.834270603;0.833582249;0.833683586;0.796372081;0.833582249;0.833582249;0.833582249;0.796372081;0.833207956;0.834020786;0.833370708;0.796372081;0.834020786;0.834020786;0.834020786;0.667228247;0.834020786;0.890099493;0.890099493;0.890099493
Feature Selection\_\_UserFeatures;0.857904843183272;0.849708737864077;0.88690717470612;0.867909559698532;0.858323962205277;0.857904843183272;0.857655418117795;0.81313912549941;0.857904843183272;0.857904843183272;0.857904843183272;0.81313912549941;0.858803232568402;0.856291425190898;0.857084973755083;0.81313912549941;0.856291425190898;0.856291425190898;0.856291425190898;0.715090246318316;0.856291425190898;0.903314471747791;0.903314471747791;0.903314471747791
Feature Selection\_\_SocialInteraction;0.838702794964796;0.859907446360959;0.82853668423186;0.84393063583815;0.839528950213997;0.838702794964796;0.838806659353008;0.802714490981035;0.838702794964796;0.838702794964796;0.838702794964796;0.802714490981035;0.838395281622038;0.83926834211593;0.838521609309803;0.802714490981035;0.83926834211593;0.83926834211593;0.83926834211593;0.677663061338781;0.83926834211593;0.896885099530012;0.896885099530012;0.896885099530012
Feature Selection\_\_UserFeatures + SocialInteraction;0.854277789630894;0.865274365274365;0.85650587758411;0.860867793848034;0.854400245929819;0.854277789630894;0.85431468775081;0.816640635906362;0.854277789630894;0.854277789630894;0.854277789630894;0.816640635906362;0.853795311813129;0.854153839692956;0.853950134326032;0.816640635906362;0.854153839692955;0.854153839692955;0.854153839692955;0.70794906072114;0.854153839692956;0.898964986470053;0.898964986470053;0.898964986470053
Conversation\_\_no-conversation;0.850010668;0.850835322;0.867044994;0.858863682;0.849992831;0.850010668;0.849915951;0.807693305;0.850010668;0.850010668;0.850010668;0.807693305;0.849945963;0.849063038;0.849418183;0.807693305;0.849063038;0.849063038;0.849063038;0.699008443;0.849063038;0.887725545;0.887725545;0.887725545
Conversation\_\_BERT-last;0.810113079;0.866914844;0.755168221;0.807192374;0.817230085;0.810113079;0.809917874;0.783533619;0.810113079;0.810113079;0.810113079;0.783533619;0.81446609;0.813169696;0.810069495;0.783533619;0.813169696;0.813169696;0.813169696;0.627634447;0.813169696;0.888710985;0.888710985;0.888710985
Conversation\_\_SentenceTransformer;0.818007254;0.851174935;0.792865829;0.820986359;0.820353566;0.818007254;0.81811649;0.783892483;0.818007254;0.818007254;0.818007254;0.783892483;0.818638953;0.819405887;0.817956837;0.783892483;0.819405887;0.819405887;0.819405887;0.63804438;0.819405887;0.864585958;0.864585958;0.864585958
Conversation\_\_no-GRU;0.849797312;0.853023628;0.863396838;0.858178888;0.849753116;0.849797312;0.849740294;0.808398906;0.849797312;0.849797312;0.849797312;0.808398906;0.849571175;0.849040761;0.84927085;0.808398906;0.849040761;0.849040761;0.849040761;0.698611735;0.849040761;0.888771605;0.888771605;0.888771605
Conversation\_\_no-Attention;0.843183273;0.851461039;0.850425618;0.850943014;0.843194444;0.843183273;0.843188512;0.802832678;0.843183273;0.843183273;0.843183273;0.802832678;0.842734568;0.842780377;0.842757125;0.802832678;0.842780377;0.842780377;0.842780377;0.685514943;0.842780377;0.8877795;0.8877795;0.8877795
Training\_\_Hinge-No-weight;0.846810326;0.855632371;0.852857722;0.854242793;0.846842003;0.846810326;0.846823694;0.807180936;0.846810326;0.846810326;0.846810326;0.807180936;0.84635299;0.846473906;0.846410965;0.807180936;0.846473906;0.846473906;0.846473906;0.692826885;0.846473906;0.891818125;0.891818125;0.891818125
Training\_\_Hinge-Squared;0.839769575;0.856905158;0.835022294;0.845822213;0.840242436;0.839769575;0.839854256;0.80237084;0.839769575;0.839769575;0.839769575;0.80237084;0.839315479;0.84003367;0.839522255;0.80237084;0.84003367;0.84003367;0.84003367;0.679348769;0.84003367;0.906546047;0.906546047;0.906546047
Training\_\_BCE;0.848730531256667;0.852728731942215;0.861370085123631;0.857027626537608;0.848684993663438;0.848730531256667;0.848683548837183;0.807482803650643;0.848730531256667;0.848730531256667;0.848730531256667;0.807482803650643;0.848460037952884;0.848027384904158;0.848219362532677;0.807482803650643;0.848027384904158;0.848027384904158;0.848027384904158;0.696487288476526;0.848027384904158;0.911046169801743;0.911046169801743;0.911046169801743
