feature_set;Q1##matthews_corrcoef;Q1##precision;Q1##precision_weighted;Q1##recall;Q1##recall_weighted;Q10##matthews_corrcoef;Q10##precision;Q10##precision_weighted;Q10##recall;Q10##recall_weighted;Q2##matthews_corrcoef;Q2##precision;Q2##precision_weighted;Q2##recall;Q2##recall_weighted;Q3##matthews_corrcoef;Q3##precision;Q3##precision_weighted;Q3##recall;Q3##recall_weighted;Q4##matthews_corrcoef;Q4##precision;Q4##precision_weighted;Q4##recall;Q4##recall_weighted;Q5##matthews_corrcoef;Q5##precision;Q5##precision_weighted;Q5##recall;Q5##recall_weighted;Q6##matthews_corrcoef;Q6##precision;Q6##precision_weighted;Q6##recall;Q6##recall_weighted;Q7##matthews_corrcoef;Q7##precision;Q7##precision_weighted;Q7##recall;Q7##recall_weighted;Q8##matthews_corrcoef;Q8##precision;Q8##precision_weighted;Q8##recall;Q8##recall_weighted;Q9##matthews_corrcoef;Q9##precision;Q9##precision_weighted;Q9##recall;Q9##recall_weighted
Model;0,404544188;0,57751938;0,758550135;0,564393939;0,760171306;0,69459238;0.758445332364693;0,878958435;0,802768166;0.876312473750525;0,391238625;0,471810089;0,782981829;0,669473684;0,742081448;0,47912498;0,502109705;0,816129184;0,810626703;0,751872022;0,502640096;0,490310078;0,836111617;0,859569649;0,755424591;0,489821445;0,539516656;0,8152637;0,748188406;0,780335196;0,501576355;0,485823106;0,834168689;0.889922480620155;0,738131995;0.475053850202093;0,597006652;0,796642287;0,639548694;0.7915625;0,58637567;0,586401327;0,848175422;0,873517787;0,801374389;0,640726967;0,642003231;0,865497939;0,875330396;0,835753926
tweet stats;0.222984699418429;0.370510396975425;0.701628391478606;0.742424242424242;0.570663811563169;0.597517837238209;0.682444365948428;0.840618238671798;0.742791234140715;0.835363292734145;0.309465449198067;0.372829417773238;0.76732171158038;0.768421052631578;0.635997988939165;0.337750030604856;0.399165507649513;0.76987547627005;0.782016348773842;0.65146358066712;0.360049984329309;0.400114810562571;0.786780943263432;0.789354473386183;0.67023841414412;0.370487226223111;0.419167473378509;0.782283567485911;0.784420289855072;0.678659217877094;0.381616667592275;0.433217692974848;0.782911947371881;0.774418604651162;0.691624855268236;0.42399964078732;0.479662880175888;0.787813038740451;0.777315914489311;0.71953125;0.475212481418604;0.531878622570746;0.801441077942057;0.770750988142292;0.757235364080877;0.545525979643982;0.612683625940523;0.823994278030693;0.753303964757709;0.806234502302515
user stats;0.176822469450321;0.454545454545454;0.669519913789982;0.284090909090909;0.701284796573875;0.129257810483698;0.384309831181727;0.655018129690814;0.29757785467128;0.677971440571188;0.113522063897122;0.345029239766081;0.67859108521275;0.248421052631578;0.707893413775766;0.113334893461306;0.353932584269662;0.6685253965363;0.257493188010899;0.697072838665759;0.114831049417956;0.341353383458646;0.680961107593742;0.257078142695356;0.706938119474953;0.109286517075654;0.345873786407767;0.669643541716981;0.258152173913043;0.696536312849162;0.10816366470393;0.346832814122533;0.667215469230511;0.25891472868217;0.694133539174064;0.10724212587382;0.357985837922895;0.654501613582015;0.270190023752969;0.68046875;0.118240860297383;0.371484630477436;0.655246322176571;0.280632411067193;0.680586758292586;0.123334795773658;0.376013904982618;0.656786843391064;0.28590308370044;0.68142637855709
LIWC categories;0.0998379314711834;0.34931506849315;0.635068262870925;0.386363636363636;0.623126338329764;0.114028681261503;0.378923766816143;0.649598400034988;0.259900038446751;0.681541369172616;0.141036771733886;0.331632653061224;0.688256230034611;0.410526315789473;0.661639014580191;0.137133790901221;0.342723004694835;0.67683996226266;0.397820163487738;0.658951667801225;0.143985647164036;0.334608030592734;0.691166837875227;0.396375990939977;0.670774176265738;0.151074488778702;0.352605863192182;0.684614969487238;0.392210144927536;0.672402234636871;0.15567748908163;0.360230547550432;0.684348032088193;0.387596899224806;0.676186800463141;0.150270813458354;0.375761266747868;0.670500099454268;0.366389548693586;0.673125;0.142291197561894;0.380133185349611;0.66406133205649;0.338438735177865;0.675432800317166;0.146491591153051;0.393820224719101;0.665829303691322;0.308810572687224;0.68733026331326
personality;0.0806292849086631;0.334415584415584;0.627376253057817;0.390151515151515;0.60813704496788;0.0457398297729912;0.304768734313374;0.621149335293716;0.326797385620915;0.612557748845023;0.083089000163856;0.290423861852433;0.667271399532351;0.389473684210526;0.626948215183509;0.0768260172540348;0.299559471365638;0.654280684813607;0.370572207084468;0.626276378488767;0.053266512254258;0.270293609671848;0.658396858004949;0.354473386183465;0.620948298955263;0.0622795307928448;0.286743515850144;0.651757263978229;0.360507246376811;0.621005586592178;0.0627774272135994;0.290510006455777;0.649724723130908;0.348837209302325;0.62582014666152;0.0502625281552255;0.29768941429339;0.631756906514666;0.32897862232779;0.61921875;0.062321046519329;0.309991079393398;0.632617161010743;0.343379446640316;0.619928637504955;0.0527465506068573;0.304260450160771;0.628353318747732;0.333480176211453;0.616955957019719
punctuation;0.0645143093449048;0.333333333333333;0.620747423857984;0.291666666666666;0.634903640256959;0.298804754638645;0.51665905979005;0.72238181461902;0.435217224144559;0.734565308693826;0.126529354611411;0.334728033472803;0.682438613507403;0.336842105263157;0.681749622926093;0.157710375543714;0.372832369942196;0.684329515708341;0.351498637602179;0.690265486725663;0.168762253861044;0.367323290845886;0.699783208327885;0.359003397508493;0.702116260380391;0.179184727153399;0.385781990521327;0.694947391026924;0.368659420289855;0.699441340782122;0.171271986120935;0.38204081632653;0.690145755805986;0.362790697674418;0.695291393284446;0.194814068445536;0.417161716171617;0.687952344940225;0.375296912114014;0.69765625;0.222163310139393;0.443948689347462;0.695477818731341;0.393280632411067;0.705960089863882;0.253783114134569;0.477548864236661;0.707916905153984;0.398237885462555;0.721927027984413
readability;0.0740158024351443;0.342342342342342;0.624698357621871;0.287878787878787;0.642398286937901;0.196756707405561;0.440644846116267;0.68206664850163;0.346789696270665;0.701385972280554;0.120393100773089;0.333333333333333;0.680228234456175;0.317894736842105;0.685268979386626;0.134546559287857;0.358895705521472;0.675753814140741;0.318801089918256;0.687542545949625;0.111501609493863;0.325637910085054;0.679137071249996;0.303510758776896;0.686579158853469;0.118780913826013;0.341974077766699;0.672553467407164;0.310688405797101;0.682458100558659;0.134732870238528;0.358391608391608;0.676600329288971;0.317829457364341;0.688537244307217;0.144044319417172;0.381959126145172;0.66843375696215;0.321852731591448;0.68453125;0.151675466857069;0.392772511848341;0.668000029236907;0.327569169960474;0.684683494119201;0.170958713400331;0.413127413127413;0.675431676517207;0.329955947136563;0.694769158106033
tree metrics;0.342602119855285;0.391653290529695;0.781916115609831;0.924242424242424;0.572805139186295;0.562853030540821;0.612299465240641;0.830376673711912;0.792387543252595;0.806278874422511;0.399946924708611;0.406528189910979;0.808459138052306;0.865263157894736;0.666163901458019;0.436778760309975;0.441379310344827;0.813050112660791;0.871934604904632;0.692307692307692;0.444529843032741;0.444576170717249;0.818991917793882;0.849377123442808;0.713367264934369;0.459449949331349;0.470050761421319;0.815731824103827;0.838768115942028;0.726927374301676;0.474636198780224;0.482300884955752;0.819717340796018;0.844961240310077;0.735623311462755;0.49310711152601;0.510975170924793;0.817601232487531;0.843230403800475;0.74640625;0.513196681063911;0.535015772870662;0.820983817435266;0.83794466403162;0.761860710981895;0.544508652831728;0.572830420116528;0.82900352037232;0.822907488986784;0.788050537253512
content evolution;0.0832062761259528;0.414285714285714;0.639333653399499;0.109848484848484;0.704496788008565;0.48908522033912;0.611988513998564;0.797373094620737;0.655517108804306;0.792419151616967;0.109777199176068;0.386740331491712;0.683036178151593;0.147368421052631;0.740573152337858;0.129374678801735;0.412903225806451;0.680341272035279;0.174386920980926;0.731790333560245;0.130588739551018;0.385120350109409;0.689792972564293;0.199320498301245;0.735333511920707;0.149694988948209;0.4099173553719;0.68780377361912;0.22463768115942;0.728938547486033;0.151118852022711;0.408906882591093;0.685932770009192;0.234883720930232;0.725009648784253;0.212650790399241;0.467205750224618;0.697576150629517;0.308788598574821;0.72546875;0.276139280897168;0.501854140914709;0.71751920964395;0.401185770750988;0.733315712964186;0.37436188662922;0.551692165044042;0.754596270564462;0.524229074889867;0.758294958082418
all features;0.140474847777461;0.348115299334811;0.6568264860698;0.594696969696969;0.570663811563169;0.453938223943579;0.589641434262948;0.783351323017209;0.625913110342176;0.778874422511549;0.232527206638805;0.359550561797752;0.72723564707849;0.606315789473684;0.648064353946706;0.258969091410786;0.38676844783715;0.728236319914819;0.62125340599455;0.65929203539823;0.26604185054768;0.379526462395543;0.740891714694217;0.617214043035107;0.670774176265738;0.278102281992542;0.399297423887587;0.736917823831488;0.617753623188405;0.676424581005586;0.280398052235288;0.404071246819338;0.735850982539148;0.615503875968992;0.678309532998842;0.302616334315784;0.436188077246011;0.733358193649149;0.616983372921615;0.689375;0.3380771742704;0.471320754716981;0.743132723751057;0.617094861660079;0.712435575525307;0.404051873494783;0.534116755117513;0.767045282642884;0.620704845814978;0.753217617192112
