,Q1##matthews_corrcoef,Q1##precision,Q1##precision_weighted,Q1##recall,Q1##recall_weighted,Q2##matthews_corrcoef,Q2##precision,Q2##precision_weighted,Q2##recall,Q2##recall_weighted,Q3##matthews_corrcoef,Q3##precision,Q3##precision_weighted,Q3##recall,Q3##recall_weighted,Q4##matthews_corrcoef,Q4##precision,Q4##precision_weighted,Q4##recall,Q4##recall_weighted,Q5##matthews_corrcoef,Q5##precision,Q5##precision_weighted,Q5##recall,Q5##recall_weighted,Q6##matthews_corrcoef,Q6##precision,Q6##precision_weighted,Q6##recall,Q6##recall_weighted,Q7##matthews_corrcoef,Q7##precision,Q7##precision_weighted,Q7##recall,Q7##recall_weighted,Q8##matthews_corrcoef,Q8##precision,Q8##precision_weighted,Q8##recall,Q8##recall_weighted,Q9##matthews_corrcoef,Q9##precision,Q9##precision_weighted,Q9##recall,Q9##recall_weighted,Q10##matthews_corrcoef,Q10##precision,Q10##precision_weighted,Q10##recall,Q10##recall_weighted
Our proposal,0.044940901,0.026315789,0.98605634,0.142857143,0.953961456,0.10171302,0.078125,0.976212427,0.185185185,0.959276018,0.054211696,0.042016807,0.976726956,0.135135135,0.950306331,0.061742843,0.024425287,0.981469402,0.414634146,0.811679614,-0.001985638,0.014409222,0.970394001,0.149253731,0.834413408,-0.002934747,0.01363398,0.971955863,0.356164384,0.627942879,0.261278702,0.204531537,0.897966356,0.636190476,0.7671875,0.387891545,0.305411927,0.877975435,0.857696031,0.714285714,0.584818312,0.583652618,0.869307743,0.795243619,0.842838588,0.707129763,0.763943865,0.884019699,0.816224529,0.880932381
tweet stats,0.000921558,0.007692308,0.985156248,0.142857143,0.855460385,0.050025539,0.027586207,0.97576857,0.296296296,0.848667672,0.075113552,0.034391534,0.978582577,0.351351351,0.867597005,0.072599571,0.028239203,0.981745937,0.414634146,0.836860434,0.04668518,0.023305085,0.974428526,0.492537313,0.683351955,0.041147628,0.020979021,0.975683564,0.493150685,0.668660749,0.223060237,0.159063383,0.900363361,0.75047619,0.6540625,0.343505285,0.294356326,0.861882568,0.77250726,0.716135853,0.46030001,0.471059337,0.83247483,0.750580046,0.7776597,0.597517837,0.682444366,0.840618239,0.742791234,0.835363293
user stats,-0.021946027,0,0.98459244,0,0.93254818,-0.016705452,0.006756757,0.972586012,0.037037037,0.913021619,-0.006554841,0.010380623,0.974863736,0.081081081,0.891082369,-0.015878425,0.005797101,0.97769576,0.048780488,0.897669435,-0.002160386,0.014423077,0.970372469,0.179104478,0.804469274,0.017207483,0.018112488,0.973286418,0.260273973,0.790814357,0.074313238,0.120168658,0.862533802,0.325714286,0.7490625,0.093662747,0.199363057,0.787031823,0.303000968,0.738733976,0.111547024,0.292147806,0.711915985,0.29350348,0.711418113,0.12925781,0.384309831,0.65501813,0.297577855,0.677971441
LIWC categories,0.03523132,0.020408163,0.985929455,0.142857143,0.942184154,-0.023221595,0,0.972510248,0,0.948717949,0.012196794,0.01980198,0.975474168,0.054054054,0.954390742,0.021574075,0.022727273,0.978829769,0.073170732,0.955263863,0.01742469,0.020123839,0.971437479,0.194029851,0.846480447,0.010001256,0.016194332,0.97290215,0.273972603,0.755306831,0.048725933,0.104389087,0.858570294,0.335238095,0.70953125,0.0618995,0.174665179,0.779674978,0.303000968,0.709396062,0.10073646,0.286148238,0.708424107,0.273201856,0.713307356,0.114028681,0.378923767,0.6495984,0.259900038,0.681541369
personality,0.040410935,0.016528926,0.986525263,0.285714286,0.867237687,-0.020901483,0.008403361,0.972033157,0.111111111,0.809954751,-0.030955127,0.005424955,0.973398485,0.081081081,0.801225323,-0.037093315,0.002886003,0.976360528,0.048780488,0.804446826,0.010396262,0.017094017,0.971275904,0.298507463,0.732513966,0.016122626,0.01702685,0.973474688,0.356164384,0.70127364,-0.002270151,0.081081081,0.848942884,0.297142857,0.66609375,0.007046209,0.14021164,0.766115857,0.307841239,0.647812872,0.036631225,0.226415094,0.687980545,0.327146172,0.635494155,0.04573983,0.304768734,0.621149335,0.326797386,0.612557749
punctuation,0.091444894,0.071428571,0.986567824,0.142857143,0.979657388,-0.013235235,0,0.972864502,0,0.973856209,-0.013268071,0,0.974799761,0,0.973791695,-0.016468988,0,0.97788908,0,0.965175462,0.048883994,0.025339367,0.974007883,0.417910448,0.750614525,0.047154096,0.023093072,0.975730096,0.452054795,0.722886916,0.106788172,0.126348228,0.870818481,0.468571429,0.690625,0.15322612,0.227560718,0.802921072,0.417231365,0.727104533,0.220119766,0.365404299,0.747349254,0.414153132,0.734325186,0.298804755,0.51665906,0.722381815,0.435217224,0.734565309
readability,0.017762692,0.0125,0.985625931,0.142857143,0.908993576,-0.000744821,0.013333333,0.973185582,0.111111111,0.876319759,-0.003153631,0.011627907,0.974991382,0.108108108,0.873042886,0.002322955,0.011655012,0.978368672,0.12195122,0.876774712,0.022128919,0.019792648,0.972052072,0.313432836,0.757318436,0.01450617,0.016865777,0.973298618,0.328767123,0.720571208,0.076440329,0.115707099,0.864152158,0.394285714,0.703125,0.106509817,0.199579832,0.791163082,0.3678606,0.712303423,0.157999528,0.319693095,0.727143472,0.362529002,0.713189279,0.196756707,0.440644846,0.682066649,0.346789696,0.701385972
sentiment,0.032343992,0.018867925,0.985887361,0.142857143,0.937901499,7.51E+09,0.013605442,0.973222063,0.074074074,0.914529915,-0.006833563,0.009803922,0.97488933,0.054054054,0.91933288,-0.021484272,0.003367003,0.977540273,0.024390244,0.909991964,-0.015842691,0.010680908,0.969590251,0.119402985,0.82122905,-0.020399571,0.009127789,0.971003606,0.123287671,0.799112312,-0.004980964,0.079148936,0.848564307,0.177142857,0.7634375,0.019155949,0.15193133,0.768771717,0.171345595,0.756310295,-0.012269839,0.192754614,0.671747421,0.163573086,0.690282206,-0.015701815,0.257850242,0.596470031,0.164167628,0.642692146
tree metrics,-0.01499296,0,0.984845444,0,0.96359743,0.026829371,0.041666667,0.973939012,0.037037037,0.975364505,-0.014399648,0,0.974769236,0,0.971409122,0.022598139,0.027777778,0.978786137,0.048780488,0.970800964,-0.008967608,0.009950249,0.970196372,0.029850746,0.941005587,-0.012860024,0.012414384,0.970845157,0.397260274,0.546314164,0.185482105,0.138568935,0.896096695,0.756190476,0.594375,0.295218472,0.254027261,0.855776183,0.793804453,0.653627593,0.431975918,0.42217484,0.830466509,0.803944316,0.736096351,0.562853031,0.612299465,0.830376674,0.792387543,0.806278874
content evolution,-0.014411103,0,0.984862298,0,0.965738758,0.00217935,0.014925373,0.973284003,0.037037037,0.953745601,0.029810911,0.027027027,0.976067766,0.108108108,0.939754935,0.029481719,0.023474178,0.979159751,0.12195122,0.934637021,0.036458148,0.026642984,0.972333415,0.223880597,0.865921788,0.028006347,0.021963824,0.973696977,0.232876712,0.843110768,0.162020536,0.135022693,0.887985525,0.68,0.61640625,0.301991921,0.336664585,0.837946699,0.52178122,0.794370292,0.421694181,0.500960615,0.813494524,0.604988399,0.796906364,0.48908522,0.611988514,0.797373095,0.655517109,0.792419152
